UF,Nome_UF,Mesorregião,Nome_Meso,Microrregião,Nome_Micro,Município,Nome_Munic,siglas,espectro,T_FREQ6A14,T_FORA6A14,T_FREQ4A5,T_FORA4A5,T_LUZ,T_SLUZ,kmeans
11,Rondônia,1102,Leste Rondoniense,11006,Cacoal,1100015,Alta Floresta D'Oeste,RO,D,95.68,4.32,39.18,60.82,93.98,6.02,0
11,Rondônia,1102,Leste Rondoniense,11003,Ariquemes,1100023,Ariquemes,RO,D,97.21,2.79,55.34,44.66,98.58,1.42,0
11,Rondônia,1102,Leste Rondoniense,11008,Colorado do Oeste,1100031,Cabixi,RO,E,98.03,1.97,66.92,33.08,96.36,3.64,0
11,Rondônia,1102,Leste Rondoniense,11006,Cacoal,1100049,Cacoal,RO,D,97.61,2.39,62.41,37.59,98.89,1.11,0
11,Rondônia,1102,Leste Rondoniense,11008,Colorado do Oeste,1100056,Cerejeiras,RO,D,98.54,1.46,61.27,38.73,98.85,1.15,0
11,Rondônia,1102,Leste Rondoniense,11008,Colorado do Oeste,1100064,Colorado do Oeste,RO,D,97.65,2.35,49.14,50.86,97.76,2.24,0
11,Rondônia,1102,Leste Rondoniense,11008,Colorado do Oeste,1100072,Corumbiara,RO,C,97.09,2.91,34.37,65.63,97.81,2.19,0
11,Rondônia,1101,Madeira-Guaporé,11002,Guajará-Mirim,1100080,Costa Marques,RO,C,97.57,2.43,63.69,36.31,90.13,9.87,0
11,Rondônia,1101,Madeira-Guaporé,11002,Guajará-Mirim,1100106,Guajará-Mirim,RO,D,93.13,6.87,51.67,48.33,97.71,2.29,0
11,Rondônia,1102,Leste Rondoniense,11004,Ji-Paraná,1100114,Jaru,RO,E,97.77,2.23,67.63,32.37,99.4,0.6,0
11,Rondônia,1102,Leste Rondoniense,11004,Ji-Paraná,1100122,Ji-Paraná,RO,D,96.56,3.44,57.19,42.81,99.35,0.65,0
11,Rondônia,1102,Leste Rondoniense,11003,Ariquemes,1100130,Machadinho D'Oeste,RO,D,93.22,6.78,38.54,61.46,88.1,11.9,0
11,Rondônia,1102,Leste Rondoniense,11005,Alvorada D'Oeste,1100148,Nova Brasilândia D'Oeste,RO,E,97.48,2.52,56.82,43.18,94.95,5.05,0
11,Rondônia,1102,Leste Rondoniense,11004,Ji-Paraná,1100155,Ouro Preto do Oeste,RO,D,96.09,3.91,78.48,21.52,99.13,0.87,0
11,Rondônia,1102,Leste Rondoniense,11007,Vilhena,1100189,Pimenta Bueno,RO,D,97.68,2.32,65.65,34.35,99.0,1.0,0
11,Rondônia,1101,Madeira-Guaporé,11001,Porto Velho,1100205,Porto Velho,RO,D,94.52,5.48,67.26,32.74,98.2,1.8,0
11,Rondônia,1102,Leste Rondoniense,11004,Ji-Paraná,1100254,Presidente Médici,RO,E,96.86,3.14,54.82,45.18,99.15,0.85,0
11,Rondônia,1102,Leste Rondoniense,11003,Ariquemes,1100262,Rio Crespo,RO,D,97.72,2.28,59.47,40.53,96.42,3.58,0
11,Rondônia,1102,Leste Rondoniense,11006,Cacoal,1100288,Rolim de Moura,RO,D,97.86,2.14,56.35,43.65,99.24,0.76,0
11,Rondônia,1102,Leste Rondoniense,11006,Cacoal,1100296,Santa Luzia D'Oeste,RO,E,93.9,6.1,43.74,56.26,99.21,0.79,0
11,Rondônia,1102,Leste Rondoniense,11007,Vilhena,1100304,Vilhena,RO,D,97.82,2.18,78.73,21.27,98.29,1.71,0
11,Rondônia,1102,Leste Rondoniense,11005,Alvorada D'Oeste,1100320,São Miguel do Guaporé,RO,D,97.97,2.03,42.71,57.29,96.7,3.3,0
11,Rondônia,1101,Madeira-Guaporé,11001,Porto Velho,1100338,Nova Mamoré,RO,D,92.8,7.2,42.87,57.13,91.43,8.57,0
