,UF,CODIGO DO MUNICIPIO,NOME DO MUNICIPIO,ESPECTRO
0,AC,1392,RIO BRANCO,E
1,AC,1538,SENADOR GUIOMARD,C
2,AC,1457,SENA MADUREIRA,E
3,AC,1473,TARAUACÁ,D
4,AC,1007,BUJARI,D
5,AC,1040,MARECHAL THAUMATURGO,D
6,AC,1120,ACRELÂNDIA,E
7,AC,1015,CAPIXABA,D
8,AC,1074,CRUZEIRO DO SUL,D
9,AC,1511,PLÁCIDO DE CASTRO,E
10,AC,1490,XAPURI,E
11,AC,1139,FEIJÓ,E
12,AC,1554,MANOEL URBANO,E
13,AC,1104,JORDÃO,E
14,AC,1090,MÂNCIO LIMA,D
15,AC,1058,BRASILÉIA,E
16,AC,1570,ASSIS BRASIL,E
17,AC,1112,EPITACIOLÂNDIA,E
18,AC,1023,PORTO ACRE,E
19,AC,1031,SANTA ROSA DO PURUS,D
20,AC,1082,RODRIGUES ALVES,E
21,AC,1066,PORTO WALTER,E
22,AL,27790,JUNQUEIRO,D
23,AL,27715,JAPARATINGA,D
24,AL,27855,MACEIÓ,E
25,AL,28339,PENEDO,E
26,AL,27618,IGACI,D
27,AL,27650,INHAPI,D
28,AL,27375,CHÃ PRETA,D
29,AL,28797,TANQUE D'ARCA,D
30,AL,28355,PIAÇABUÇU,D
31,AL,28096,MURICI,D
32,AL,28835,TRAIPU,D
33,AL,27251,CAJUEIRO,D
34,AL,27570,GIRAU DO PONCIANO,D
35,AL,28851,UNIÃO DOS PALMARES,D
36,AL,27553,FLEXEIRAS,D
37,AL,27316,CANAPI,D
38,AL,27154,BELÉM,D
39,AL,28592,SANTANA DO IPANEMA,D
40,AL,27731,JARAMATAIA,D
41,AL,27472,DELMIRO GOUVEIA,D
42,AL,27693,JACUÍPE,D
43,AL,28258,PALMEIRA DOS ÍNDIOS,E
44,AL,28878,VIÇOSA,D
45,AL,28711,SÃO MIGUEL DOS CAMPOS,D
46,AL,28495,PORTO REAL DO COLÉGIO,D
47,AL,27936,MARECHAL DEODORO,D
48,AL,28231,PALESTINA,D
49,AL,27030,ANADIA,D
50,AL,27057,ARAPIRACA,E
51,AL,28770,SATUBA,D
52,AL,28916,SENADOR RUI PALMEIRA,D
53,AL,27090,BARRA DE SANTO ANTÔNIO,D
54,AL,27197,BOCA DA MATA,D
55,AL,27499,DOIS RIACHOS,D
56,AL,27995,MATA GRANDE,D
57,AL,27219,BRANQUINHA,D
58,AL,28150,OLHO D'ÁGUA DO CASADO,D
